statefp,countyfp,countygeoid,county,countysqmland,countysqmwater,latitude,longitude,stusps,state
21,007,21007,Ballard,639387454,69473325,37.058481961692515,-88.99925588833929,KY,Kentucky
21,017,21017,Bourbon,750439351,4829777,38.20673452494951,-84.21715057392241,KY,Kentucky
21,031,21031,Butler,1103571974,13943044,37.20728450321775,-86.68162334315122,KY,Kentucky
21,065,21065,Estill,655509930,6516335,37.69244422727429,-83.96431121402227,KY,Kentucky
21,069,21069,Fleming,902727151,7182793,38.37011818128262,-83.69665601093855,KY,Kentucky
21,093,21093,Hardin,1614569777,17463238,37.697923748277894,-85.96344816564537,KY,Kentucky
21,099,21099,Hart,1068530028,13692536,37.299930032136444,-85.88469125715008,KY,Kentucky
21,131,21131,Leslie,1038206077,9189732,37.09406861934719,-83.38112755085905,KY,Kentucky
21,151,21151,Madison,1132729653,15306635,37.72018252475277,-84.27800422679779,KY,Kentucky
21,155,21155,Marion,888463701,9891797,37.552536011601134,-85.26963609723012,KY,Kentucky
21,179,21179,Nelson,1081354961,16997384,37.805154004783844,-85.46595801652114,KY,Kentucky
17,091,17091,Kankakee,1752121058,12440760,41.13771025937168,-87.86183129275949,IL,Illinois
17,187,17187,Warren,1404747944,1674135,40.848816760112456,-90.61501039462989,IL,Illinois
17,197,17197,Will,2164927644,34548925,41.44504270382515,-87.97864242148337,IL,Illinois
18,027,18027,Daviess,1112374406,19124393,38.70240607387271,-87.07204460457883,IN,Indiana
18,061,18061,Harrison,1254889433,5193186,38.19517152505243,-86.11130682918797,IN,Indiana
01,001,01001,Autauga,1539602123,25706961,32.53492293292807,-86.64273013739466,AL,Alabama
01,005,01005,Barbour,2292144655,50538698,31.86958143836235,-85.3932097890258,AL,Alabama
01,023,01023,Choctaw,2365869835,19144469,32.01977172097567,-88.26317980997923,AL,Alabama
01,035,01035,Conecuh,2202007854,6632046,31.429236930250163,-86.9936615072557,AL,Alabama
01,051,01051,Elmore,1601769095,99957723,32.5966474982654,-86.14915715534632,AL,Alabama
01,055,01055,Etowah,1386373604,34568854,34.045256670230565,-86.03476332697056,AL,Alabama
01,065,01065,Hale,1667907112,32423361,32.76266345818617,-87.62914936651784,AL,Alabama
01,089,01089,Madison,2076091216,28831382,34.763090473582665,-86.55022471636643,AL,Alabama
01,113,01113,Russell,1660577613,15641643,32.28839324253351,-85.18492486749622,AL,Alabama
01,117,01117,Shelby,2034112797,62537787,33.26427760112506,-86.6606654130733,AL,Alabama
02,016,02016,Aleutians West,11375510886,25186009907,52.797996316267295,-106.60605997097664,AK,Alaska
02,130,02130,Ketchikan Gateway,12579243763,4651750442,55.585161705719834,-130.92880926517537,AK,Alaska
02,180,02180,Nome,59497122355,13774270048,64.91109214261579,-164.0272116791414,AK,Alaska
02,282,02282,Yakutat,19744199346,3986129001,59.888895226080514,-140.35768726394193,AK,Alaska
05,011,05011,Bradley,1681514472,9532926,33.46641993334531,-92.16239823980497,AR,Arkansas
05,015,05015,Carroll,1631600824,22431173,36.34101968375257,-93.538238195497,AR,Arkansas
05,019,05019,Clark,2243130281,43387661,34.05097067085154,-93.17636676689368,AR,Arkansas
05,025,05025,Cleveland,1548253400,2500196,33.89837312457409,-92.1851889570672,AR,Arkansas
05,063,05063,Independence,1978631568,19593589,35.74157248497608,-91.56970871240064,AR,Arkansas
05,067,05067,Jackson,1641853231,19623382,35.59922211078084,-91.21456610285111,AR,Arkansas
05,121,05121,Randolph,1689251367,9889906,36.34145903265383,-91.02770853309576,AR,Arkansas
